"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"trust_ig","numeric",0.0132442284325638,6,0.331732545253048,0,0,NA,0.331732545253048,NA,0,4,4,2.02848297509274,37.3207787200043,4.0373101263915,37.1445302689276,NA,NA
"trust_maps","numeric",0.00765492102065614,6,2.16052406024244,2,2,NA,2.16052406024244,NA,0,4,4,-0.186995678373782,-3.45014200499211,-0.42209315428269,-3.89436665978838,NA,NA
"trust_google","numeric",0.011543134872418,6,1.16189305470191,1,1,NA,1.16189305470191,NA,0,4,4,0.386877610100083,7.12404758580478,-0.451816995650296,-4.16043859495155,NA,NA
"cope1","numeric",0.00194410692588092,5,1.42524957389822,1,1,NA,1.42524957389822,NA,0,3,3,0.137152995737155,2.53779369593429,-0.787120307203773,-7.28307795662352,NA,NA
"cope2","numeric",0.00145808019441069,5,1.61779021659771,2,2,NA,1.61779021659771,NA,0,3,3,-0.0393884855804371,-0.728997401138231,-0.785971291988323,-7.27421578453371,NA,NA
"cope3","numeric",0.00145808019441069,5,1.50450231199805,1,1,NA,1.50450231199805,NA,0,3,3,0.0394387381169647,0.729927469100718,-0.881132216414636,-8.15493637266302,NA,NA
"cope4","numeric",0.00133657351154313,5,1.63000365007909,2,2,NA,1.63000365007909,NA,0,3,3,-0.0642913510982631,-1.18996903810215,-0.822178951404714,-7.60978271507792,NA,NA
"cope5","numeric",0.00133657351154313,5,1.25015208662854,1,1,NA,1.25015208662854,NA,0,3,3,0.312325218984102,5.7808295215559,-0.747109999010333,-6.91497239988588,NA,NA
"cope6","numeric",0.00157958687727825,5,1.47839844225386,1,1,NA,1.47839844225386,NA,0,3,3,0.107704387678873,1.99325874203696,-0.828679832042915,-7.66901976206138,NA,NA
"cope7","numeric",0.00109356014580802,5,2.3466731541175,3,3,NA,2.3466731541175,NA,0,3,3,-0.98165603381802,-18.1716876792541,0.369749103912111,3.4226763509335,NA,NA
"cope8","numeric",0.000972053462940462,5,2.0423254682559,2,2,NA,2.0423254682559,NA,0,3,3,-0.491790473293165,-9.10421358213636,-0.392747438743881,-3.63578724336935,NA,NA
"cope9","numeric",0.00133657351154313,5,1.25806059131281,1,1,NA,1.25806059131281,NA,0,3,3,0.378800851932754,7.01122744671751,-0.79332994256244,-7.34276701434757,NA,NA
